neitherOverWaightNorObese,overweight,obese
58537,24856,16630
58571,24823,16629
58594,24799,16630
58622,24768,16633
58665,24724,16634
58706,24677,16640
58745,24634,16644
58773,24609,16641
58810,24572,16641
58843,24537,16643
58885,24489,16649
58913,24460,16649
58942,24431,16649
58960,24410,16652
58963,24407,16651
58995,24374,16652
59019,24348,16654
59049,24316,16654
59076,24286,16657
59110,24253,16655
59134,24230,16654
59157,24209,16652
59165,24202,16650
59181,24186,16650
59209,24157,16651
59225,24139,16653
59256,24102,16658
59279,24077,16660
59302,24055,16659
59333,24024,16659
59357,24000,16659
59393,23963,16660
59411,23939,16664
59430,23918,16666
59445,23906,16662
59452,23894,16666
59470,23874,16668
59500,23840,16671
59543,23797,16671
59566,23774,16671
59589,23744,16676
59612,23719,16678
59637,23694,16678
59648,23684,16677
59661,23673,16674
59697,23636,16674
59709,23621,16677
59746,23581,16680
59759,23565,16683
59789,23532,16686
59814,23505,16687
59834,23485,16687
59856,23463,16687
59889,23429,16688
59915,23400,16691
59928,23389,16688
59956,23362,16687
59968,23350,16686
59969,23349,16686
59997,23319,16686
60020,23292,16690
60042,23267,16693
60050,23259,16693
60090,23219,16693
60096,23212,16694
60115,23192,16694
60123,23182,16696
60158,23149,16694
60165,23142,16694
60199,23104,16698
60210,23094,16697
60223,23078,16700
60234,23067,16700
60260,23042,16699
60259,23047,16695
60271,23036,16693
60281,23017,16700
60304,22990,16704
60301,22991,16706
60308,22984,16706
60325,22966,16707
60338,22954,16706
60350,22941,16707
60364,22928,16706
60380,22908,16709
60381,22904,16711
60385,22895,16716
60403,22881,16712
60386,22891,16719
60418,22858,16720
60421,22851,16724
60438,22830,16728
60452,22812,16732
60448,22819,16729
60463,22802,16731
60455,22808,16733
