POLYP,STAGE_1,STAGE_2,STAGE_3,STAGE_4,DIE,NO_CANCER
886,125,116,61,9,0,98826
885,126,117,60,9,0,98826
885,125,116,61,9,0,98827
886,127,115,59,10,0,98826
887,127,115,58,10,0,98826
887,126,114,58,9,1,98828
885,130,113,57,9,1,98828
885,131,111,56,8,2,98830
883,127,109,56,7,3,98838
882,127,109,56,7,3,98839
884,127,108,56,7,3,98838
885,126,105,55,8,3,98841
885,124,104,51,10,3,98846
889,126,103,51,10,3,98841
888,128,102,49,10,3,98843
889,127,101,46,10,3,98847
892,128,100,47,10,3,98843
893,126,96,46,10,4,98848
891,128,92,45,10,4,98853
892,125,91,45,10,4,98856
890,127,90,44,9,5,98858
888,130,88,42,9,5,98861
888,130,85,41,8,6,98865
892,126,85,38,9,6,98867
893,125,83,38,9,6,98869
889,128,78,40,9,6,98873
889,126,74,40,10,6,98878
889,123,74,40,10,6,98881
889,121,75,40,9,7,98882
888,119,74,38,10,7,98887
887,118,74,38,10,7,98889
889,118,74,38,10,7,98887
889,122,75,36,12,7,98882
890,123,75,36,12,7,98880
890,125,72,37,12,7,98880
892,123,72,37,12,7,98880
892,123,72,37,12,7,98880
894,123,70,38,12,7,98879
895,122,70,38,12,7,98879
896,120,70,38,12,7,98880
897,119,70,38,12,7,98880
899,116,69,38,12,7,98882
900,115,68,36,13,8,98883
900,116,67,36,13,8,98883
899,116,67,35,13,8,98885
900,118,67,34,14,8,98882
900,118,67,34,14,8,98882
900,118,67,34,14,8,98882
