Smokes,Does not smoke
19605,80418
20116,79907
20850,79173
20216,79807
20716,79307
20056,79967
20600,79423
19930,80093
20478,79545
19854,80169
20345,79678
19744,80278
20263,79759
19665,80357
20168,79853
19559,80462
20044,79977
19445,80574
19904,80115
19353,80665
19830,80188
19306,80712
19772,80245
19274,80743
19758,80259
19272,80745
19758,80258
19272,80744
19758,80258
19272,80744
19758,80258
19272,80744
19761,80253
19273,80741
19767,80246
19276,80736
19767,80245
19276,80735
19767,80244
19276,80735
19766,80243
19275,80734
19766,80243
19275,80734
19766,80242
19274,80733
19766,80241
19274,80733
19766,80241
19274,80733
19766,80240
19275,80731
19766,80240
19275,80731
19766,80240
19275,80730
19765,80240
19274,80730
19763,80241
19269,80733
19760,80242
19264,80738
19759,80243
19272,80730
19770,80232
19277,80724
19778,80223
19283,80718
19778,80223
19283,80718
19778,80223
19283,80718
19778,80223
19283,80718
19778,80223
19282,80718
19778,80220
19280,80718
19778,80220
19280,80718
19778,80220
19280,80718
19778,80220
19280,80718
19779,80218
19279,80717
19779,80217
19279,80717
19779,80217
19279,80717
19779,80217
19279,80717
19779,80217
19279,80717
19779,80217
